ARM,AUPRC,AUROC,BALANCED_ACCURACY,C,EXPLORATORY_OUTER_RESULT,FN,FP,KERNEL_PARAMS,LEFT_FEATURE,MCC,OUTER_FOLD,PAIR,PAIR_INDEX,RIGHT_FEATURE,SENSITIVITY,SPECIFICITY,THRESHOLD,TN,TP,USED_FOR_PATH_SELECTION
pair_phase_no_zz,0.2811771972597203,0.4460051546391752,0.45193298969072165,100.0,True,29,36,"{""feature_scale"": 0.125}",NumHDonors,-0.0920709841412482,1,NumHDonors__NumRotatableBonds,25,NumRotatableBonds,0.275,0.6288659793814433,0.6525570038621096,61,11,False
pair_iqp_zz,0.2822107363639216,0.44806701030927837,0.45193298969072165,100.0,True,29,36,"{""feature_scale"": 0.125}",NumHDonors,-0.0920709841412482,1,NumHDonors__NumRotatableBonds,25,NumRotatableBonds,0.275,0.6288659793814433,0.6483225480230446,61,11,False
pair_rbf_control,0.27819890918063966,0.43466494845360826,0.45193298969072165,1.0,True,29,36,"{""gamma"": 0.1}",NumHDonors,-0.0920709841412482,1,NumHDonors__NumRotatableBonds,25,NumRotatableBonds,0.275,0.6288659793814433,0.4812247344763826,61,11,False
pair_phase_no_zz,0.3028375399742171,0.4295103092783505,0.38634020618556697,1.0,True,26,56,"{""feature_scale"": 0.5}",NumHDonors,-0.20675989406287482,1,NumHDonors__NumAromaticRings,26,NumAromaticRings,0.35,0.422680412371134,0.20999991482692892,41,14,False
pair_iqp_zz,0.2767774883751617,0.40940721649484535,0.40399484536082475,100.0,True,25,55,"{""feature_scale"": 1.0}",NumHDonors,-0.17464412820503597,1,NumHDonors__NumAromaticRings,26,NumAromaticRings,0.375,0.4329896907216495,0.9455259530990142,42,15,False
pair_rbf_control,0.24589048731840898,0.3725515463917526,0.394458762886598,100.0,True,27,52,"{""gamma"": 0.03}",NumHDonors,-0.19219633968858701,1,NumHDonors__NumAromaticRings,26,NumAromaticRings,0.325,0.4639175257731959,0.7513601923795004,45,13,False
pair_phase_no_zz,0.2881473888077796,0.44394329896907214,0.3893041237113402,1.0,True,27,53,"{""feature_scale"": 0.125}",NumHDonors,-0.20145412241153596,1,NumHDonors__nHalogen,27,nHalogen,0.325,0.4536082474226804,0.5086359381409409,44,13,False
pair_iqp_zz,0.2842158765567734,0.42925257731958766,0.3893041237113402,1.0,True,27,53,"{""feature_scale"": 0.125}",NumHDonors,-0.20145412241153596,1,NumHDonors__nHalogen,27,nHalogen,0.325,0.4536082474226804,0.5077840145077162,44,13,False
pair_rbf_control,0.2906696200156249,0.4529639175257732,0.3893041237113402,1.0,True,27,53,"{""gamma"": 0.01}",NumHDonors,-0.20145412241153596,1,NumHDonors__nHalogen,27,nHalogen,0.325,0.4536082474226804,0.30182396294637526,44,13,False
pair_phase_no_zz,0.3752572829746743,0.4792525773195876,0.5771907216494845,0.1,True,33,2,"{""feature_scale"": 0.125}",NumHDonors,0.2833248842736598,1,NumHDonors__n_OP,28,n_OP,0.175,0.979381443298969,-0.25299453168093705,95,7,False
pair_iqp_zz,0.37096564172964985,0.4753865979381443,0.5771907216494845,0.1,True,33,2,"{""feature_scale"": 0.25}",NumHDonors,0.2833248842736598,1,NumHDonors__n_OP,28,n_OP,0.175,0.979381443298969,-0.3808590592468376,95,7,False
pair_rbf_control,0.3592180066098535,0.46456185567010305,0.5771907216494845,0.1,True,33,2,"{""gamma"": 0.01}",NumHDonors,0.2833248842736598,1,NumHDonors__n_OP,28,n_OP,0.175,0.979381443298969,-0.3246143210730302,95,7,False
pair_phase_no_zz,0.2741120621850569,0.47010309278350515,0.46224226804123714,100.0,True,29,34,"{""feature_scale"": 1.0}",NumHDonors,-0.07310575842528415,1,NumHDonors__LiPHEX_prediction,29,LiPHEX_prediction,0.275,0.6494845360824743,0.1828312013022907,63,11,False
pair_iqp_zz,0.2869262903855936,0.44123711340206184,0.37899484536082473,10.0,True,27,55,"{""feature_scale"": 0.25}",NumHDonors,-0.22007500872555302,1,NumHDonors__LiPHEX_prediction,29,LiPHEX_prediction,0.325,0.4329896907216495,-0.20951641386821995,42,13,False
pair_rbf_control,0.3031372254550906,0.45128865979381444,0.4402061855670103,0.1,True,32,31,"{""gamma"": 0.3}",NumHDonors,-0.12049160139075087,1,NumHDonors__LiPHEX_prediction,29,LiPHEX_prediction,0.2,0.6804123711340206,0.789878871917405,66,8,False
pair_phase_no_zz,0.3011701789870695,0.4377577319587629,0.5095360824742268,10.0,True,38,3,"{""feature_scale"": 0.125}",NumHDonors,0.04624277513078463,1,NumHDonors__sasa002_frac_polar_hetero_only,30,sasa002_frac_polar_hetero_only,0.05,0.9690721649484536,0.9932168078600623,94,2,False
pair_iqp_zz,0.3195295042906139,0.45270618556701026,0.5190721649484537,100.0,True,36,6,"{""feature_scale"": 0.125}",NumHDonors,0.06667207814170838,1,NumHDonors__sasa002_frac_polar_hetero_only,30,sasa002_frac_polar_hetero_only,0.1,0.9381443298969072,0.9998121449542037,91,4,False
pair_rbf_control,0.2945590604314302,0.43621134020618557,0.5036082474226804,100.0,True,36,9,"{""gamma"": 0.01}",NumHDonors,0.011195916474369417,1,NumHDonors__sasa002_frac_polar_hetero_only,30,sasa002_frac_polar_hetero_only,0.1,0.9072164948453608,0.9992916719320215,88,4,False
pair_phase_no_zz,0.28288404402443,0.4832474226804124,0.4760309278350516,0.1,True,18,58,"{""feature_scale"": 1.0}",NumRotatableBonds,-0.044219584763023456,1,NumRotatableBonds__NumAromaticRings,31,NumAromaticRings,0.55,0.4020618556701031,-0.234144985051506,39,22,False
pair_iqp_zz,0.39030704998334365,0.5597938144329897,0.5408505154639176,100.0,True,19,43,"{""feature_scale"": 0.125}",NumRotatableBonds,0.07445467673604489,1,NumRotatableBonds__NumAromaticRings,31,NumAromaticRings,0.525,0.5567010309278351,0.3367664495121092,54,21,False
pair_rbf_control,0.28868949097512986,0.49046391752577323,0.4881443298969072,100.0,True,36,12,"{""gamma"": 0.3}",NumRotatableBonds,-0.033567522451278455,1,NumRotatableBonds__NumAromaticRings,31,NumAromaticRings,0.1,0.8762886597938144,1.0002562075984986,85,4,False
pair_phase_no_zz,0.3164536474007892,0.5100515463917527,0.5159793814432989,10.0,True,28,26,"{""feature_scale"": 0.5}",NumRotatableBonds,0.03245610702201503,1,NumRotatableBonds__nHalogen,32,nHalogen,0.3,0.7319587628865979,0.7415624794612009,71,12,False
pair_iqp_zz,0.32682273798848566,0.5247422680412371,0.5211340206185567,100.0,True,28,25,"{""feature_scale"": 0.25}",NumRotatableBonds,0.043283973573919124,1,NumRotatableBonds__nHalogen,32,nHalogen,0.3,0.7422680412371134,0.593506179493315,72,12,False
pair_rbf_control,0.3467373135990613,0.5363402061855671,0.5637886597938144,100.0,True,25,24,"{""gamma"": 0.03}",NumRotatableBonds,0.128541686828495,1,NumRotatableBonds__nHalogen,32,nHalogen,0.375,0.7525773195876289,0.5736790162226539,73,15,False
pair_phase_no_zz,0.3791597227949175,0.5069587628865979,0.5771907216494845,10.0,True,33,2,"{""feature_scale"": 0.125}",NumRotatableBonds,0.2833248842736598,1,NumRotatableBonds__n_OP,33,n_OP,0.175,0.979381443298969,0.08431984413003102,95,7,False
pair_iqp_zz,0.3632888640508915,0.4760309278350516,0.5771907216494845,10.0,True,33,2,"{""feature_scale"": 0.125}",NumRotatableBonds,0.2833248842736598,1,NumRotatableBonds__n_OP,33,n_OP,0.175,0.979381443298969,0.08819998180940081,95,7,False
