REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
73,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.03494928419530685
74,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
74,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.052986883578885036
74,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012624224915274374
74,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.04036265866361066
75,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
75,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.02157743660440553
75,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.021694129070678247
75,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.00011669246627271646
76,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
76,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.0131105777842076
76,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.01102088233845816
76,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.02413146012266576
77,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
77,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03833047604439754
