C,FEATURE,FEATURE_INDEX,FEATURE_SCALE,INNER_AUPRC,INNER_AUROC,INNER_BALANCED_ACCURACY,INNER_MCC,OUTER_AUPRC,OUTER_AUROC,OUTER_FOLD,OUTER_MCC,SELECTION_SOURCE,THRESHOLD
0.1,sasa002_frac_polar_hetero_only,9,0.125,0.3845207816927866,0.5787960122699386,0.5770205388103494,0.16567095586717187,0.3140290083779539,0.43393998332870237,4,-0.0848605520288522,inner_OOF_outer_train_only,0.41082122707763374
0.1,MolLogP,0,0.25,0.45778653119877155,0.6213945632707736,0.5797454900190737,0.25467591780877397,0.3571923586731613,0.5244678516567918,5,0.054377236360377064,inner_OOF_outer_train_only,0.6448490711585663
0.1,MolWt,1,0.125,0.3763791534328621,0.5282756511990215,0.5218619414394083,0.16126285411546595,0.4009105059902526,0.5850340136054422,5,0.0,inner_OOF_outer_train_only,0.7824176221729826
0.1,TPSA_SP,2,1.0,0.371890875501489,0.5949898807530467,0.5947860398072247,0.1765347018773387,0.593205950416948,0.7329383366249725,5,0.26198211743641975,inner_OOF_outer_train_only,-0.40902712286075804
10.0,NumHDonors,3,0.125,0.35302667011212996,0.5815946185990303,0.5756541110350752,0.1392042923415874,0.4510029712500175,0.662716699583059,5,0.3101083807632595,inner_OOF_outer_train_only,0.9996026289482494
0.1,NumRotatableBonds,4,0.5,0.4054824608637045,0.6094334677712905,0.5938833156185844,0.1727121521183103,0.44204719283849403,0.6318850120693439,5,0.2234467010614093,inner_OOF_outer_train_only,-0.18257231144182462
0.1,NumAromaticRings,5,0.125,0.3906624176769657,0.5809466955926675,0.5911096227486495,0.18828800398071657,0.328807528640188,0.468180820715383,5,0.0,inner_OOF_outer_train_only,0.8497265669704108
100.0,nHalogen,6,0.5,0.33861641519272284,0.5379944962944627,0.5164528763413462,0.11523810835991848,0.38272883739314156,0.5475093263111697,5,0.0,inner_OOF_outer_train_only,1.6031088505207371
10.0,n_OP,7,0.5,0.5374258267792037,0.6679066990870838,0.6423610605553209,0.44335800688691324,0.678928821848842,0.7869212201009437,5,0.6528109491516051,inner_OOF_outer_train_only,0.9995401195346909
100.0,LiPHEX_prediction,8,1.0,0.33134440608715954,0.5532680071635532,0.5632998937115068,0.12009305004899384,0.49099752528863505,0.6466973886328726,5,0.23104429874354201,inner_OOF_outer_train_only,0.2256025613703846
0.1,sasa002_frac_polar_hetero_only,9,1.0,0.3684219319373939,0.5463155749042676,0.5401712263944904,0.15597016724043009,0.5036930158918228,0.6416502084704849,5,0.1221441953484472,inner_OOF_outer_train_only,0.96338891837504
