DIAGONAL_ERROR,FOLD,MIN_EIGENVALUE,MODEL,N,PARAMS,PASS,PSD_VERIFICATION,STAGE,SYMMETRY_ERROR
0.0,1.1,,pair_iqp_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__NumRotatableBonds,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__NumRotatableBonds,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__NumAromaticRings,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__NumAromaticRings,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__NumAromaticRings,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__nHalogen,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__nHalogen,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__nHalogen,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__n_OP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__n_OP,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__n_OP,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__LiPHEX_prediction,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__LiPHEX_prediction,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__LiPHEX_prediction,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__MolWt__sasa002_frac_polar_hetero_only,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_iqp_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_iqp_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_iqp_zz__MolWt__sasa002_frac_polar_hetero_only,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_iqp_zz__MolWt__sasa002_frac_polar_hetero_only,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.1,,pair_phase_no_zz__TPSA_SP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.2,,pair_phase_no_zz__TPSA_SP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.3,,pair_phase_no_zz__TPSA_SP__NumHDonors,431,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
0.0,1.4,,pair_phase_no_zz__TPSA_SP__NumHDonors,432,"{""feature_scale"": 0.125}",True,fidelity_gram_by_construction,hpo_representative,0.0
